"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_KLS5_CR2032_01","https://www.chipdip.ru/product/kls5-cr2032-01-bh-642-ch224-2032-batareynyy-otsek-na-41183"
"C1,C2,C3","3","470uF","","","","Capacitor_THT:C_Radial_D6.3mm_H7.0mm_P2.50mm","https://www.chipdip.ru/product/ecap-k50-35-mini-470mkf-6.3v-8x7mm-jb-capacitors-9000261777"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14","14","LED","","","","Diode_SMD:D_0201_0603Metric","https://www.chipdip.ru/product/ltst-c190kskt-lite-on-electronics-8008844944"
"J1","1","Conn_01x06","","","","Connector_PinHeader_2.00mm:PinHeader_1x06_P2.00mm_Vertical","~"
"J2","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"LOGO1","1","~","","","","Symbol:cdk_logo_6x6mm",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14","14","120","","","","Resistor_SMD:R_0201_0603Metric_1.6x0.8","https://www.chipdip.ru/product/0.1vt-0603-120-om-1-rc0603fr-07120rl-chip-rezistor-yageo-9000103458"
"R15","1","1k","","","","Resistor_SMD:R_0201_0603Metric_1.6x0.8","https://www.chipdip.ru/product/0.1vt-0603-1-kom-rc0603fr-071kl-chip-rezistor-smd-yageo-9000176519"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~"
"U1","1","STM32L011F3Px","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","https://www.st.com/resource/en/datasheet/stm32l011f3.pdf"
